,stu_id,com_id,category_id,name,description,rule,main_img,port_img,cad_img,floor,tag_id,tag_name,new_tag1,new_tag2,extend_tag,extend_tag_sim
0,10,11@sample.com,1,엔코아스튜디오1,"바르셀로나 보케리아 시장과 까사바트요가 가까운 스튜디오. 안녕하세요, 저희 스튜디오를 찾아주셔서 감사합니다.","음식물 반입 금지, 퇴실 시 구비된 물품 손상 점검 있습니다.",0_0_must_be.jpg,barcel_4.jpg,NaN,3.0,"[1, 2, 3, 32]","['모던', '블랙앤화이트', '시크', '이태원']","['시크', '스튜디오', '리아', '요가', '바르셀로나', '시장', '이태원', '블랙', '화이트', '사바트', '모던', '보케', '가까운']","['시크', '이태원', '블랙', '화이트', '모던']",[],[]
1,11,1234@admin.com,2,카페로제,"낭만적인 카페. 로코코 풍의 카페, 식당 인테리어. 18~19세기 유럽 느낌을 냅니다. 서울시 서초구. 최대 7인. 조명, 반사판 제공합니다. 포토그래퍼 문의는 연락주세요.",음식물 반입 금지,0_0_must_be.jpg,NaN,NaN,1.0,"[4, 5, 6]","['플라워카페', '러블리', '우드']","['우드', '낭만', '로코코', '세기', '서초구', '반사', '카페', '러블리', '포토', '인테리어', '그래퍼', '유럽', '느낌', '조명', '식당', '서울시', '제공', '플라워']","['우드', '카페', '러블리', '플라워']","['활용', '면적', '공간', '대부분', '공간', '주차장', '거리', '주변', '사방', '빌딩', '정이', '지원이']","[0.2313951849937439, 0.20625153183937073, 0.19822829961776733, 0.18372920155525208, 0.6297639012336731, 0.5861383080482483, 0.5813907980918884, 0.5787729024887085, 0.1796102225780487, 0.1621512621641159, 0.1558794528245926, 0.1516680270433426]"
2,12,1234@admin.com,4,팩토리 바다,타이트한 샷 찍기 좋아요,n인 이상 진입금지,0_0_must_be.jpg,NaN,NaN,17.0,"[7, 8, 9]","['모던', '힙스터', '클로즈샷']","['찍기', '타이트', '힙스터', '모던', '클로즈']","['찍기', '타이트']","['문화', '실내', '싱크대', '카페']","[0.23081335425376892, 0.22552774846553802, 0.22374437749385834, 0.22075460851192474]"
3,13,1234@admin.com,9,바다바다,자유로운 장소,아무 방이나 열지 마세요,0_0_must_be.jpg,NaN,NaN,1.0,"[10, 11, 12]","['유니크', '오션뷰', '통창']","['오션', '장소', '유니크', '자유로운', '통창']","['장소', '자유로운']","['거리', '카페', '다양한', '공간', '카페', '주변', '다양한', '미니']","[0.4523979723453522, 0.4437764883041382, 0.4169323742389679, 0.4040943682193756, 0.2986089885234833, 0.26924270391464233, 0.26144054532051086, 0.26142656803131104]"
4,14,33@sample.com,3,나무주택,빛이 잘 드는 조용한 주택,식기류 조심히 다뤄주세요,0_0_must_be.jpg,NaN,NaN,2.0,"[13, 14, 15]","['나무집', '따듯함', '아늑함']","['조용한', '나무', '주택']","['조용한', '주택']","['좋은', '공간', '활용', '카페', '카페', '공간', '주변', '모두']","[0.4193916916847229, 0.4069770574569702, 0.40341177582740784, 0.39018628001213074, 0.46091029047966003, 0.44222596287727356, 0.42976999282836914, 0.41637367010116577]"
5,15,33@sample.com,5,목란정,중식풍 식당,19시 이후만 대여 가능,0_0_must_be.jpg,NaN,NaN,3.0,"[16, 17, 18]","['중국풍', '촬영지', '상해']","['촬영', '상해', '중국', '식당', '중식']","['식당', '중식']","['카페', '촬영', '작은', '주변']","[0.319509357213974, 0.3112589120864868, 0.3068334460258484, 0.30678242444992065]"
6,16,33@sample.com,6,이태원_루프탑,이태원에 위치한 뷰가 좋은 루프탑입니다.,평일만 대여 가능합니다.,0_0_must_be.jpg,NaN,NaN,1.0,"[19, 20, 21]","['아늑함', '우드', '코지']","['우드', '코지', '루프', '좋은', '이태원']","['루프', '이태원', '좋은']","['카페', '있고', '선호', '공간', '아트', '콘서트', '카페', '풍경', '카페', '공간', '활용', '주차장']","[0.4572797119617462, 0.44917935132980347, 0.44823193550109863, 0.44694069027900696, 0.18342278897762299, 0.17517946660518646, 0.16785848140716553, 0.16659677028656006, 0.5783331990242004, 0.5545926094055176, 0.4980022609233856, 0.4958135187625885]"
7,17,44@sample.com,8,학교,강원도 태백 폐교,취사 금지,0_0_must_be.jpg,NaN,NaN,2.0,"[22, 23, 24]","['미술갤러리', '힙스터', '첨단지구']","['갤러리', '태백', '지구', '강원도', '미술', '첨단', '힙스터', '폐교']","['갤러리', '지구', '미술', '첨단', '힙스터']",[],[]
8,18,44@sample.com,7,나잇나잇,광주 핫한 펍,음식물 반입 금지,0_0_must_be.jpg,NaN,NaN,7.0,"[25, 26, 27, 31]","['루프탑', '야경', '분위기', '이태원']","['야경', '루프', '이태원', '광주', '분위기']","['루프', '이태원', '야경', '분위기']","['카페', '있고', '선호', '공간', '아트', '콘서트', '카페', '풍경', '공간', '주차장', '주변', '거리', '공간', '느낌', '인테리어', '주차장']","[0.4572797119617462, 0.44917935132980347, 0.44823193550109863, 0.44694069027900696, 0.18342278897762299, 0.17517946660518646, 0.16785848140716553, 0.16659677028656006, 0.5057229399681091, 0.4657626450061798, 0.4577733278274536, 0.45733770728111267, 0.5736126899719238, 0.5086970925331116, 0.48876118659973145, 0.4689544439315796]"
9,19,55@sample.com,2,카페 광활,바다가 보이는 부산 카페,음식물 반입 금지,0_0_must_be.jpg,NaN,NaN,2.0,"[28, 29, 30]","['오션뷰', '통창', '햇살맛집']","['바다', '오션', '햇살', '부산', '카페', '통창', '맛집']","['오션', '햇살', '통창', '맛집']","['문화', '뒤편', '정리', '개인', '공간', '다양한', '주변', '바로', '다양한', '작은', '촬영', '활용', '테라스', '가능하십니다', '가게', '스튜디오']","[0.20981046557426453, 0.20895814895629883, 0.19750750064849854, 0.18513022363185883, 0.3597981333732605, 0.31403347849845886, 0.31337907910346985, 0.30912330746650696, 0.3379720449447632, 0.33076241612434387, 0.3293396234512329, 0.32754164934158325, 0.2690249979496002, 0.25411438941955566, 0.2511613667011261, 0.23890794813632965]"
